"","X","End_time","Finished","Respondent_group","Screening","Consent","Reason_nc","Check_group","Ob_lawyers","Ob_politicians","Ob_journalists","Ob_med_doctors","Ob_accountants","Ob_army_lieutenants","Ob_bankers","Ob_judges","Ob_detectives","Ob_scientists","Ra_lawyers","Ra_politicians","Ra_journalists","Ra_med_doctors","Ra_accountants","Ra_army_lieutenants","Ra_bankers","Ra_judges","Ra_detectives","Ra_scientists","Op_lawyers","Op_politicians","Op_journalists","Op_med_doctors","Op_accountants","Op_army_lieutenants","Op_bankers","Op_judges","Op_detectives","Op_scientists","Iq_lawyers","Iq_politicians","Iq_journalists","Iq_med_doctors","Iq_accountants","Iq_army_lieutenants","Iq_bankers","Iq_judges","Iq_detectives","Iq_scientists","In_lawyers","In_politicians","In_journalists","In_med_doctors","In_accountants","In_army_lieutenants","In_bankers","In_judges","In_detectives","In_scientists","Co_lawyers","Co_politicians","Co_journalists","Co_med_doctors","Co_accountants","Co_army_lieutenants","Co_bankers","Co_judges","Co_detectives","Co_scientists","Country","Year_born","Gender","Religiousness","Feedback"
"64",77,"5/14/2014 2:18",1,"Educated",NA,1,NA,1,54,64,68,55,73,56,55,68,58,72,71,32,65,63,58,77,56,86,74,82,38,38,34,49,36,52,32,64,56,55,85,83,84,93,85,78,82,91,93,95,72,0,21,71,58,81,63,70,50,59,77,90,98,65,55,67,69,57,74,74,187,73,2,44,NA
"65",78,"5/14/2014 2:20",1,"Educated",NA,1,NA,1,63,8,64,64,56,51,36,76,78,76,70,13,49,77,63,50,59,61,80,71,54,7,66,74,35,53,34,60,30,70,76,36,77,87,68,23,71,85,66,99,76,3,30,60,82,53,29,70,70,73,57,84,53,37,27,36,70,44,46,77,187,38,1,38,NA
"66",79,"5/14/2014 2:21",1,"Educated",NA,1,NA,1,54,52,52,52,56,51,54,52,53,52,52,55,53,53,50,52,53,52,52,52,53,54,54,53,54,53,55,54,52,54,50,50,50,52,49,51,54,51,51,50,51,50,52,51,47,53,52,54,51,53,50,50,53,52,50,51,52,52,52,53,187,62,2,38,NA
"67",80,"5/14/2014 2:24",1,"Educated",NA,1,NA,4,30,37,38,28,44,30,51,50,32,22,44,36,26,38,21,38,28,31,41,24,45,37,38,50,39,45,30,48,56,60,44,45,51,68,39,49,62,53,54,47,63,32,37,43,58,43,52,42,46,55,27,16,29,19,28,38,28,19,17,15,52,65,1,41,NA
"68",81,"5/14/2014 2:28",1,"Educated",NA,1,NA,2,36,7,13,81,85,88,64,72,61,81,51,20,40,80,80,73,71,75,73,82,35,26,34,61,54,74,53,76,58,37,67,35,62,91,83,70,85,68,64,89,19,7,23,74,68,71,55,62,47,86,93,94,98,75,64,74,80,65,80,61,187,55,2,43,NA
"69",82,"5/14/2014 2:32",1,"Educated",NA,1,NA,1,40,28,61,59,49,30,51,79,70,51,60,70,48,39,40,24,41,59,50,59,50,33,49,80,59,50,46,51,62,68,73,25,49,75,57,38,70,78,71,73,48,37,49,70,61,50,48,59,48,68,50,40,40,67,48,90,50,39,60,59,187,36,2,38,NA
"70",83,"5/14/2014 2:33",1,"Educated",NA,1,NA,1,19,50,61,82,80,81,19,92,90,91,82,51,51,60,81,60,49,90,90,82,70,71,80,70,61,50,51,91,80,81,66,66,76,61,76,61,61,81,81,81,35,60,60,61,60,71,20,81,60,61,61,61,51,51,50,50,61,40,40,41,187,56,1,41,NA
"71",84,"5/14/2014 2:33",1,"Educated",NA,1,NA,1,87,50,92,87,91,78,80,91,87,62,82,14,85,89,73,53,55,87,93,71,63,16,78,75,51,54,41,74,100,87,89,67,78,98,88,81,93,91,86,92,37,23,82,75,89,80,51,93,87,60,94,93,98,76,94,79,89,93,90,67,187,65,1,43,NA
"72",85,"5/14/2014 2:37",1,"Educated",NA,1,NA,1,3,3,60,95,86,90,94,5,96,94,14,8,77,70,72,90,79,7,42,63,19,10,30,81,62,73,75,6,40,69,95,48,61,100,97,94,91,100,100,100,94,59,63,100,96,95,100,97,100,60,9,2,78,96,86,94,92,5,81,93,187,35,1,39,NA
"73",86,"5/14/2014 2:40",1,"Educated",NA,1,NA,2,80,50,50,85,85,70,70,90,80,80,60,70,70,90,90,90,70,80,75,95,85,50,50,80,85,75,75,90,75,85,85,65,85,90,80,85,80,70,75,90,75,25,50,85,90,85,75,90,70,80,90,95,95,70,60,95,75,60,75,70,187,27,1,43,NA
"74",88,"5/14/2014 2:48",1,"Educated",NA,1,NA,2,70,52,68,64,56,55,63,69,53,51,56,51,57,52,59,41,63,46,58,54,55,53,71,60,60,59,68,74,58,64,49,61,69,52,56,50,61,49,61,60,56,51,59,51,52,58,62,52,65,50,53,58,64,59,67,65,45,51,68,63,187,64,2,41,NA
"75",89,"5/14/2014 3:06",1,"Educated",NA,1,NA,1,50,39,61,70,71,55,70,74,74,70,82,40,71,90,80,89,90,83,80,97,69,50,79,62,71,61,71,67,81,96,80,69,69,80,81,80,89,82,70,96,62,61,68,76,70,78,70,76,76,87,100,100,100,74,70,60,86,51,50,90,187,71,2,38,NA
"76",90,"5/14/2014 3:06",1,"Educated",NA,1,NA,1,78,85,84,80,78,83,85,77,87,78,84,78,73,78,86,86,84,79,85,78,81,82,82,85,80,71,80,79,82,81,83,81,83,80,81,84,83,81,80,84,80,81,86,80,86,86,83,85,82,83,81,81,78,81,81,56,81,85,82,84,187,56,2,43,NA
"77",92,"5/14/2014 3:10",1,"Educated",NA,1,NA,1,61,39,70,71,91,60,70,60,89,80,81,41,70,80,90,89,81,80,59,71,60,50,70,55,55,70,55,71,85,60,66,40,81,71,71,71,62,70,82,91,61,3,64,78,87,81,9,70,80,65,80,100,74,51,9,60,49,60,40,69,187,37,2,41,NA
"78",94,"5/14/2014 22:41",1,"Educated",NA,1,NA,1,71,0,29,78,75,52,0,54,70,100,60,2,30,85,77,65,3,71,64,100,10,2,43,53,56,31,0,36,42,34,60,3,49,89,74,65,20,69,40,100,19,0,39,57,51,59,0,58,56,99,96,98,69,74,18,69,96,50,70,44,187,51,1,38,NA
"79",95,"5/14/2014 22:44",1,"Educated",NA,1,NA,2,0,0,0,80,80,80,50,10,80,80,50,10,10,90,90,90,90,50,90,90,0,0,0,60,60,50,60,0,80,60,29,0,0,100,100,50,100,80,90,100,70,10,10,100,100,100,100,70,100,100,100,100,100,20,50,50,100,10,50,70,187,36,1,43,NA
"80",96,"5/14/2014 22:46",1,"Educated",NA,1,NA,2,80,28,20,91,95,70,90,90,69,90,90,59,60,90,91,91,91,80,80,90,91,19,29,91,80,70,91,91,70,91,90,49,49,100,90,79,80,91,69,91,80,39,29,91,91,81,80,80,60,91,90,100,91,80,81,69,80,90,80,70,187,25,2,42,NA
"81",97,"5/14/2014 22:48",1,"Educated",NA,1,NA,2,83,84,99,88,84,92,82,98,82,97,81,86,99,96,86,99,84,97,100,81,77,88,95,82,81,94,81,99,100,94,100,88,83,100,99,99,100,100,99,99,97,97,100,99,99,100,98,100,100,98,98,98,95,77,79,78,100,76,78,74,187,38,2,42,NA
"82",3,"5/14/2014 8:54",1,"Scientists",NA,1,NA,1,80,49,20,40,87,50,48,29,29,40,90,70,35,80,80,9,50,80,50,68,67,90,91,65,9,3,50,28,80,79,70,60,60,70,5,40,40,70,20,70,49,5,39,51,71,90,4,74,50,49,59,94,82,62,11,20,60,51,32,66,187,52,2,38,NA
"83",13,"5/14/2014 11:00",1,"Scientists",NA,1,NA,1,36,18,56,57,59,43,75,71,81,68,43,51,50,61,87,40,45,72,83,92,57,68,60,67,50,18,33,47,15,83,80,30,72,78,69,48,58,77,65,82,40,0,35,87,55,81,81,57,59,72,33,100,99,21,31,23,28,33,4,85,187,46,1,41,NA
"84",19,"5/14/2014 11:55",1,"Scientists",NA,1,NA,1,10,9,79,19,100,51,32,89,82,91,22,10,12,71,94,82,81,49,90,92,40,72,20,30,0,7,9,62,81,59,90,40,31,71,19,10,20,21,82,100,29,10,40,89,81,92,30,69,82,91,91,100,100,49,19,100,31,49,70,70,187,37,1,42,NA
"85",27,"5/14/2014 13:02",1,"Scientists",NA,1,NA,1,0,9,33,13,100,0,100,53,69,87,0,4,33,63,53,0,79,48,70,91,29,92,90,17,0,0,21,49,82,100,14,0,79,85,11,39,78,21,72,100,0,0,4,100,100,53,0,100,11,100,99,77,49,53,18,0,100,60,21,72,187,44,1,42,NA
"86",28,"5/14/2014 13:11",1,"Scientists",NA,1,NA,1,14,9,52,93,97,97,86,92,94,83,45,12,93,91,92,97,77,94,93,89,14,10,61,80,57,95,60,94,74,65,55,55,71,82,83,78,79,76,70,91,10,7,91,87,96,95,81,96,95,81,100,84,72,34,5,4,9,3,6,95,187,24,1,39,NA
"87",35,"5/14/2014 15:05",1,"Scientists",NA,1,NA,1,50,50,69,70,61,70,70,70,70,80,70,70,70,80,70,70,71,71,71,80,70,49,81,77,60,59,50,69,70,81,74,50,71,83,70,65,70,69,69,83,71,70,70,70,70,70,71,70,70,71,81,80,70,71,68,79,69,69,69,69,187,42,1,39,NA
"88",47,"5/15/2014 2:26",1,"Scientists",NA,1,NA,1,60,2,60,71,80,50,40,71,60,80,81,2,50,80,51,45,50,80,66,81,50,39,71,29,24,19,39,50,50,61,55,1,29,86,19,19,75,71,19,92,77,2,70,71,61,77,9,76,70,80,49,86,67,60,20,39,60,51,29,49,187,54,1,38,NA
"89",50,"5/15/2014 8:58",1,"Scientists",NA,1,NA,1,36,3,22,90,91,25,65,91,62,62,70,10,40,91,81,50,70,91,71,76,66,3,39,83,7,25,40,88,53,85,61,34,25,85,51,51,46,66,38,78,51,15,45,89,52,52,65,90,53,66,90,94,83,96,82,85,85,81,52,76,187,53,1,39,NA
"90",55,"5/15/2014 15:10",1,"Scientists",NA,1,NA,1,18,15,52,62,87,18,82,73,77,76,89,18,78,71,80,34,85,91,91,92,68,26,66,37,76,32,16,81,85,64,44,17,64,88,72,39,67,68,59,90,24,12,79,89,83,52,83,84,12,83,69,100,84,69,24,100,84,37,48,74,187,28,1,38,NA
"91",56,"5/15/2014 17:40",1,"Scientists",NA,1,NA,1,60,9,65,81,91,40,46,81,71,85,81,20,71,85,87,60,81,87,71,90,61,20,75,61,40,40,20,50,85,70,86,40,61,91,81,40,73,86,86,86,60,10,50,87,70,80,20,81,57,76,87,98,92,50,45,65,94,54,64,90,187,47,1,39,NA
"92",85,"5/19/2014 16:58",1,"Scientists",NA,1,NA,1,70,19,30,81,91,92,50,70,50,91,60,60,50,90,50,30,30,90,80,90,40,20,70,80,20,20,30,70,40,80,60,20,70,70,30,20,30,90,30,90,50,39,51,70,80,50,30,90,50,80,70,90,80,80,30,70,80,30,40,70,187,23,1,39,NA
"93",87,"5/19/2014 18:43",1,"Scientists",NA,1,NA,NA,29,9,49,60,49,60,40,49,50,70,51,10,58,61,80,51,50,69,60,59,80,9,81,49,19,18,52,30,51,81,51,30,40,81,50,50,51,71,52,91,29,8,30,70,50,49,10,30,50,50,100,99,100,100,51,100,100,99,60,100,187,64,2,39,NA
"94",132,"6/11/2014 14:40",1,"Scientists",NA,1,NA,1,0,1,30,70,30,30,20,81,19,81,61,0,1,71,91,40,70,91,71,91,20,1,20,61,81,35,1,81,81,81,71,60,40,70,40,40,61,81,61,81,0,1,1,61,61,81,1,81,50,81,100,100,100,80,80,81,100,81,100,100,187,50,1,39,NA
"95",133,"6/11/2014 14:45",1,"Scientists",NA,1,NA,1,41,21,30,87,96,95,93,91,86,86,88,26,37,89,73,79,80,88,86,89,39,40,35,87,80,71,82,90,85,65,98,92,62,96,94,83,85,95,91,94,61,39,66,92,92,94,81,96,91,94,98,98,98,82,68,83,89,46,81,82,187,37,1,44,NA
"96",134,"6/11/2014 14:51",1,"Scientists",NA,1,NA,1,0,0,50,80,100,51,91,70,60,90,9,0,61,70,100,50,91,100,91,91,0,9,50,50,0,0,0,19,39,50,62,0,51,71,71,30,50,61,50,100,20,0,61,80,91,100,50,81,50,80,91,100,51,81,0,81,100,0,0,51,187,55,2,43,NA
"97",153,"6/13/2014 19:51",1,"Scientists",NA,1,NA,1,30,10,50,90,90,50,90,90,90,90,50,10,50,50,50,50,50,70,50,70,70,10,50,50,30,10,20,20,50,70,70,10,70,70,70,70,50,70,70,70,50,10,50,50,50,50,40,50,50,50,70,60,60,30,70,30,30,20,30,30,187,55,1,41,NA
"98",166,"6/17/2014 14:13",1,"Scientists",NA,1,NA,1,80,72,70,100,81,81,81,100,100,100,92,81,80,91,91,82,81,92,71,91,91,91,91,81,60,80,92,60,71,91,92,92,71,80,70,70,92,92,60,80,81,60,71,80,70,81,60,80,60,80,92,90,80,80,71,90,92,81,70,82,187,60,2,43,NA
"99",169,"6/18/2014 23:00",1,"Scientists",NA,1,NA,1,26,12,15,90,98,50,69,96,81,91,52,12,6,81,91,48,91,91,90,94,14,1,10,72,51,14,73,89,83,71,73,32,29,33,83,35,78,83,31,83,20,1,6,90,90,70,65,87,82,86,98,100,77,77,11,98,98,75,65,66,187,32,1,44,NA
"100",172,"6/19/2014 13:27",1,"Scientists",NA,1,NA,1,0,0,0,91,0,0,81,100,20,100,49,50,92,100,91,91,91,100,91,100,29,0,91,91,0,0,92,60,29,100,18,0,49,100,70,0,49,50,70,100,0,0,9,100,49,70,9,100,69,100,80,91,49,50,49,0,81,0,0,100,187,42,1,41,NA
"101",181,"6/27/2014 9:57",1,"Scientists",NA,1,NA,1,77,6,95,83,36,44,33,96,85,99,76,10,76,85,66,87,71,91,95,100,69,20,87,60,29,15,29,85,72,92,89,61,89,90,41,41,50,89,79,100,60,9,71,84,20,70,91,87,87,97,91,100,90,90,41,80,37,71,60,72,187,42,1,39,NA
"102",185,"6/27/2014 10:12",1,"Scientists",NA,1,NA,1,97,98,93,96,98,96,97,97,97,97,95,96,96,97,96,96,96,97,97,96,98,96,96,98,96,95,97,96,96,96,99,97,96,98,97,96,96,98,94,97,96,98,96,96,96,96,95,96,96,96,96,97,98,98,97,98,99,99,97,98,187,NA,2,44,NA
"103",192,"6/27/2014 10:59",1,"Scientists",NA,1,NA,1,9,19,19,91,19,70,29,80,80,70,50,29,60,80,70,80,70,91,80,81,9,29,70,60,9,9,9,29,70,70,70,49,40,60,49,19,49,70,60,80,50,19,60,91,70,96,40,81,81,96,70,100,50,70,9,9,19,29,49,60,187,51,1,39,NA
"104",193,"6/27/2014 11:09",1,"Scientists",NA,1,NA,1,44,24,41,54,76,58,65,66,66,88,66,31,73,71,76,49,47,85,55,96,49,37,76,41,45,44,38,53,56,76,54,39,49,70,61,48,50,76,58,91,29,21,56,61,34,70,28,70,35,65,90,96,91,81,49,97,89,48,65,90,187,32,1,41,NA
"105",200,"6/27/2014 12:26",1,"Scientists",NA,1,NA,1,70,49,70,80,10,50,8,82,83,91,18,19,71,90,70,49,51,91,71,80,9,29,50,81,9,9,10,81,72,91,81,9,50,80,60,60,49,80,50,92,20,20,71,70,91,51,92,91,91,92,90,80,51,71,49,49,8,9,9,81,187,42,1,39,NA
"106",201,"6/27/2014 12:29",1,"Scientists",NA,1,NA,1,31,14,23,60,69,23,29,71,39,82,79,40,40,90,60,19,53,89,49,96,60,20,50,80,31,4,30,81,62,91,65,39,53,80,34,27,28,69,39,87,31,21,57,74,61,83,40,82,39,91,60,91,80,50,40,72,90,21,69,91,187,27,1,39,NA
"107",205,"6/27/2014 13:05",1,"Scientists",NA,1,NA,1,20,19,5,91,91,69,51,81,81,96,81,11,19,50,30,28,29,82,39,91,50,50,95,81,50,10,50,91,71,81,91,50,61,96,39,29,46,91,61,91,82,8,20,96,29,81,50,91,50,50,29,96,91,3,3,81,19,1,9,50,187,51,1,38,NA
"108",207,"6/27/2014 13:11",1,"Scientists",NA,1,NA,1,17,10,65,80,84,10,50,91,48,93,60,9,40,81,99,51,30,82,40,91,70,38,20,69,3,1,4,40,25,95,75,28,51,88,55,19,26,71,59,100,19,3,52,94,91,76,20,78,20,92,100,99,83,76,40,91,54,74,87,81,187,46,1,38,NA
"109",208,"6/27/2014 13:11",1,"Scientists",NA,1,NA,1,9,0,39,100,51,9,51,90,71,91,100,9,4,100,71,50,81,100,100,100,71,19,91,51,51,2,50,50,51,71,100,30,19,80,50,29,50,80,100,70,10,9,20,60,50,50,0,81,60,92,100,100,20,71,50,NA,51,5,50,71,187,61,2,38,NA
"110",209,"6/27/2014 13:13",1,"Scientists",NA,1,NA,1,50,38,50,51,49,50,40,51,19,68,51,49,52,52,50,50,51,51,51,52,49,50,39,62,48,40,49,61,39,65,60,63,49,72,61,29,62,62,30,87,60,59,62,72,71,71,62,72,41,72,29,89,55,19,41,10,71,7,5,39,187,31,1,42,NA
"111",210,"6/27/2014 13:36",1,"Scientists",NA,1,NA,1,28,12,60,81,97,60,90,78,72,91,20,19,59,80,94,69,88,88,78,96,31,7,59,64,81,30,72,72,61,79,54,52,50,69,50,60,50,81,60,93,50,10,55,91,87,80,91,92,74,100,83,100,91,50,20,76,74,10,97,62,187,37,1,39,NA
"112",212,"6/27/2014 14:09",1,"Scientists",NA,1,NA,1,49,29,29,80,100,39,80,49,80,81,91,29,29,91,100,40,91,70,91,91,19,19,19,50,70,9,60,40,70,70,59,29,29,70,80,30,80,50,70,91,29,19,19,70,91,70,49,40,70,50,100,100,91,70,19,70,49,19,70,81,187,47,1,44,NA
"113",214,"6/27/2014 14:09",1,"Scientists",NA,1,NA,1,67,6,35,100,100,100,55,100,100,100,100,6,30,100,100,100,100,100,100,100,86,80,85,73,37,82,40,83,50,82,90,6,19,100,59,71,59,80,63,100,52,8,24,100,100,100,21,78,90,100,71,83,52,91,3,70,67,46,50,67,187,60,1,44,NA
"114",215,"6/27/2014 14:15",1,"Scientists",NA,1,NA,1,39,10,51,90,79,60,49,87,82,81,92,18,62,92,91,92,61,91,93,39,68,20,83,80,29,20,51,86,86,80,87,7,72,99,63,91,79,86,81,80,15,4,60,92,49,92,5,91,100,91,59,93,72,82,55,81,80,62,56,87,187,36,1,38,NA
"115",216,"6/27/2014 14:19",1,"Scientists",NA,1,NA,1,56,50,51,90,80,85,64,87,80,83,71,59,56,84,72,76,69,85,57,79,48,58,67,66,64,71,73,62,72,67,49,61,39,82,45,42,64,75,36,88,50,60,59,77,61,63,49,82,50,76,88,80,73,73,35,40,88,34,59,77,187,42,1,40,NA
"116",217,"6/27/2014 14:28",1,"Scientists",NA,1,NA,1,48,19,19,71,86,56,66,89,91,90,26,70,76,84,90,37,85,96,92,94,17,56,79,72,33,56,68,61,51,89,84,54,56,88,69,53,62,81,88,96,13,27,58,85,85,80,73,97,72,89,96,91,61,43,36,57,58,82,48,80,187,40,1,41,NA
"117",219,"6/27/2014 14:43",1,"Scientists",NA,1,NA,1,2,0,91,50,0,0,29,71,60,70,70,39,50,91,60,0,0,70,70,100,30,19,81,40,5,1,9,50,70,91,70,39,60,81,73,9,60,85,60,100,29,19,71,50,60,54,18,80,49,40,96,100,92,100,29,19,100,71,80,92,187,59,1,41,NA
"118",220,"6/27/2014 14:47",1,"Scientists",NA,1,NA,1,40,40,61,78,20,20,20,71,70,82,71,38,50,81,50,49,59,70,81,91,49,30,50,85,20,20,21,29,70,82,49,50,49,90,49,50,49,50,42,90,51,30,70,81,60,61,30,51,31,80,82,89,74,92,52,62,50,41,42,79,187,33,1,38,NA
"119",221,"6/27/2014 15:00",1,"Scientists",NA,1,NA,1,81,50,60,70,60,50,61,80,60,81,71,50,50,59,70,50,49,80,70,70,60,40,71,60,51,40,50,71,71,80,71,40,40,60,60,40,60,70,61,71,50,41,60,60,81,50,49,69,60,81,91,92,85,90,50,70,81,82,71,81,187,45,2,38,NA
"120",222,"6/27/2014 15:01",1,"Scientists",NA,1,NA,1,71,51,71,60,71,71,50,81,60,71,71,50,71,71,71,71,70,91,60,81,71,30,80,60,60,50,50,71,60,60,50,50,71,71,60,50,71,71,71,80,60,40,81,70,80,80,60,71,71,71,80,91,81,91,50,81,70,60,71,95,187,60,2,38,NA
"121",223,"6/27/2014 15:08",1,"Scientists",NA,1,NA,1,30,6,36,55,61,31,37,57,60,60,52,23,55,70,59,45,63,51,51,66,62,24,64,86,87,57,60,30,61,81,73,27,82,85,54,87,40,38,51,77,57,28,48,86,94,75,48,80,72,86,75,75,91,96,16,96,89,46,81,89,187,38,2,43,NA
"122",224,"6/27/2014 15:20",1,"Scientists",NA,1,NA,1,38,9,30,71,91,39,59,52,38,91,63,4,48,68,91,68,70,61,69,91,31,9,61,49,50,9,60,52,50,80,69,45,50,73,80,62,63,70,64,100,27,9,38,70,70,74,9,34,47,80,87,100,91,60,45,91,45,45,57,76,187,37,1,41,NA
"123",226,"6/27/2014 15:26",1,"Scientists",NA,1,NA,1,49,2,3,49,92,29,40,70,50,29,59,18,28,82,71,19,49,50,49,19,50,19,60,82,61,18,19,49,50,20,49,60,50,80,59,48,49,70,50,50,10,10,5,71,71,19,50,49,50,28,80,92,90,49,50,92,50,61,48,90,187,37,1,39,NA
"124",227,"6/27/2014 15:39",1,"Scientists",NA,1,NA,1,49,39,29,100,100,91,70,100,100,100,30,8,29,100,49,100,29,100,100,100,60,9,59,81,9,9,10,100,100,80,49,29,29,100,29,29,29,100,49,100,31,9,9,100,50,91,9,100,100,90,100,80,70,100,49,70,71,100,49,100,187,57,2,39,NA
"125",228,"6/27/2014 15:45",1,"Scientists",NA,1,NA,1,0,0,20,92,92,81,39,69,29,70,39,9,31,100,92,91,92,81,40,59,10,10,51,19,10,10,8,19,9,70,18,0,29,82,40,29,29,71,41,83,9,0,19,91,92,30,40,82,29,70,50,100,30,90,50,81,40,50,49,90,187,32,1,39,NA
"126",229,"6/27/2014 15:46",1,"Scientists",NA,1,NA,1,39,10,54,75,9,70,9,60,70,55,10,3,60,81,49,60,40,9,81,81,9,9,55,60,9,49,40,49,70,60,76,80,81,76,60,65,60,81,70,70,39,19,70,50,70,81,19,50,50,71,70,85,50,70,9,54,80,39,70,75,187,47,1,40,NA
"127",230,"6/27/2014 15:48",1,"Scientists",NA,1,NA,1,76,62,87,82,84,89,84,93,93,94,95,95,95,96,95,96,96,96,96,94,93,95,93,5,6,6,94,6,92,93,63,92,62,65,33,64,62,63,91,91,51,40,78,100,83,45,76,100,55,91,82,95,12,14,13,100,21,12,14,22,187,56,1,42,NA
"128",233,"6/27/2014 16:04",1,"Scientists",NA,1,NA,1,50,28,50,91,52,80,52,87,95,99,52,48,49,70,49,89,52,92,75,92,20,29,51,60,45,65,33,95,67,97,34,58,41,92,34,42,51,76,85,97,40,29,49,91,52,92,50,91,90,92,90,83,50,30,52,90,50,70,51,29,187,36,1,43,NA
"129",234,"6/27/2014 16:35",1,"Scientists",NA,1,NA,1,20,10,20,60,80,40,20,50,50,60,30,30,20,70,70,30,30,50,50,70,10,10,20,50,50,20,10,50,70,60,50,40,40,60,60,40,30,50,40,70,20,20,20,40,40,30,10,50,50,80,90,90,39,60,60,80,90,10,10,80,187,44,1,43,NA
"130",236,"6/27/2014 16:59",1,"Scientists",NA,1,NA,1,40,98,99,80,39,70,39,100,100,100,91,48,90,100,100,9,50,99,91,100,80,100,100,100,39,19,39,100,80,100,49,49,81,99,29,20,20,99,88,99,100,100,100,100,100,100,100,100,49,100,19,100,3,2,4,2,2,4,49,9,187,31,2,41,NA
"131",240,"6/27/2014 17:30",1,"Scientists",NA,1,NA,1,80,10,70,70,90,60,80,90,80,80,90,20,70,80,90,70,80,95,80,80,90,30,90,70,70,50,70,90,90,80,70,50,60,80,70,50,60,90,80,90,90,50,90,80,90,70,80,90,70,90,70,100,90,70,60,100,70,60,80,70,187,36,1,40,NA
"132",241,"6/27/2014 17:31",1,"Scientists",NA,1,NA,1,40,19,50,71,71,50,70,71,71,81,30,31,30,50,51,30,60,61,29,70,50,40,60,61,40,30,30,60,40,81,40,40,41,71,51,50,40,50,39,71,41,30,40,71,71,61,60,71,50,71,70,60,39,40,20,29,29,19,30,60,187,25,1,42,NA
"133",243,"6/27/2014 18:30",1,"Scientists",NA,1,NA,1,59,14,81,50,95,50,34,82,60,75,81,66,80,81,90,85,80,84,73,85,25,14,14,21,18,19,72,69,61,76,65,28,50,50,90,47,51,59,49,95,50,20,71,75,81,71,50,75,61,71,76,95,98,50,20,51,67,20,50,74,187,25,2,38,NA
"134",245,"6/27/2014 19:08",1,"Scientists",NA,1,NA,1,50,30,70,50,29,29,20,92,70,81,50,9,71,70,71,29,29,91,70,70,60,19,80,50,50,19,19,80,71,70,50,19,50,81,61,29,20,91,60,91,40,29,70,81,70,40,30,91,81,81,91,91,50,71,19,51,81,9,20,91,187,32,2,39,NA
"135",246,"6/27/2014 19:27",1,"Scientists",NA,1,NA,1,99,28,30,47,5,48,96,11,76,72,49,45,38,41,43,32,55,36,61,75,82,100,97,48,53,41,42,45,64,52,71,95,49,50,50,34,61,49,50,75,11,4,40,81,50,49,20,65,50,91,59,99,81,71,35,24,46,64,37,82,187,45,1,41,NA
"136",247,"6/27/2014 20:38",1,"Scientists",NA,1,NA,1,80,49,100,100,100,100,80,100,100,100,100,61,100,100,100,81,61,100,100,100,82,71,100,100,100,100,61,100,81,100,100,81,100,100,100,82,81,100,100,100,71,61,100,100,100,90,71,100,61,100,100,71,61,50,50,100,49,50,100,81,187,30,1,38,NA
"137",248,"6/27/2014 20:53",1,"Scientists",NA,1,NA,1,71,30,51,70,49,50,70,80,40,70,80,40,51,70,51,49,50,80,50,80,60,40,81,71,40,50,40,81,60,70,79,49,50,81,49,50,40,80,60,81,60,29,70,80,70,70,40,90,60,81,60,81,30,59,49,70,50,48,50,71,187,31,1,43,NA
"138",251,"6/27/2014 22:16",1,"Scientists",NA,1,NA,1,30,3,10,50,70,70,60,80,40,85,65,5,15,65,75,65,60,80,65,90,40,3,10,15,40,60,40,55,60,70,80,5,25,85,65,60,70,65,60,100,15,5,35,80,60,60,1,85,50,90,85,85,80,85,50,80,90,50,75,85,187,67,1,43,NA
"139",253,"6/27/2014 22:40",1,"Scientists",NA,1,NA,1,50,50,50,50,50,50,50,50,50,50,49,26,59,49,49,47,49,49,49,61,46,13,64,40,51,6,34,65,50,80,51,46,68,57,52,44,51,51,44,63,41,31,57,50,49,49,49,45,49,49,68,90,91,77,54,56,84,71,57,69,187,36,1,38,NA
"140",254,"6/28/2014 0:33",1,"Scientists",NA,1,NA,1,50,4,82,61,19,4,20,81,30,81,20,9,70,70,69,9,40,50,69,81,20,19,82,39,8,6,20,49,81,81,19,3,39,49,40,5,40,49,50,80,1,1,29,40,49,9,29,49,49,81,60,70,39,20,19,70,20,19,20,60,187,35,1,38,NA
"141",266,"6/29/2014 18:27",1,"Scientists",NA,1,NA,1,20,20,50,80,50,20,20,80,19,60,50,40,40,80,80,70,50,90,60,80,50,60,70,50,20,9,50,30,30,80,50,30,50,80,30,20,50,50,50,80,20,20,30,70,20,80,20,80,50,70,50,50,30,50,30,20,50,30,20,50,187,50,2,42,NA
"142",268,"6/29/2014 20:51",1,"Scientists",NA,1,NA,1,100,100,100,100,91,81,81,100,100,100,90,91,91,100,91,90,91,100,100,100,100,100,100,100,90,90,80,100,100,100,80,80,60,90,60,70,60,100,70,100,100,100,100,100,100,100,100,100,100,100,80,80,60,30,20,50,50,10,50,50,187,56,1,38,NA
"143",269,"6/30/2014 0:15",1,"Scientists",NA,1,NA,1,0,0,1,51,100,0,0,50,100,100,0,0,0,30,9,50,0,9,81,100,0,0,0,50,100,50,0,0,100,100,0,0,0,29,30,30,0,0,30,100,0,0,0,50,50,100,0,9,19,50,49,100,49,0,0,1,100,0,0,90,187,42,1,39,NA
"144",273,"6/30/2014 13:40",1,"Scientists",NA,1,NA,1,51,30,30,50,51,50,50,81,51,71,50,29,51,50,50,50,50,81,60,81,50,30,30,30,50,51,50,51,51,51,30,30,30,71,19,30,30,40,50,71,19,20,51,71,71,71,40,71,60,71,60,91,71,50,40,50,51,50,40,51,187,43,1,43,NA
