"","X","End_time","Finished","Respondent_group","Screening","Consent","Reason_nc","Check_group","Ob_lawyers","Ob_politicians","Ob_journalists","Ob_med_doctors","Ob_accountants","Ob_army_lieutenants","Ob_bankers","Ob_judges","Ob_detectives","Ob_scientists","Ra_lawyers","Ra_politicians","Ra_journalists","Ra_med_doctors","Ra_accountants","Ra_army_lieutenants","Ra_bankers","Ra_judges","Ra_detectives","Ra_scientists","Op_lawyers","Op_politicians","Op_journalists","Op_med_doctors","Op_accountants","Op_army_lieutenants","Op_bankers","Op_judges","Op_detectives","Op_scientists","Iq_lawyers","Iq_politicians","Iq_journalists","Iq_med_doctors","Iq_accountants","Iq_army_lieutenants","Iq_bankers","Iq_judges","Iq_detectives","Iq_scientists","In_lawyers","In_politicians","In_journalists","In_med_doctors","In_accountants","In_army_lieutenants","In_bankers","In_judges","In_detectives","In_scientists","Co_lawyers","Co_politicians","Co_journalists","Co_med_doctors","Co_accountants","Co_army_lieutenants","Co_bankers","Co_judges","Co_detectives","Co_scientists","Country","Year_born","Gender","Religiousness","Feedback"
"17",22,"5/13/2014 23:16",1,"Educated",NA,1,NA,1,50,0,4,49,4,5,0,4,50,20,51,1,50,51,49,49,49,49,49,50,0,0,51,0,21,19,0,19,81,0,100,0,40,100,60,61,0,82,60,100,0,0,2,49,100,50,0,50,49,49,100,100,100,100,3,100,100,4,100,100,187,26,2,44,NA
"18",24,"5/13/2014 23:17",1,"Educated",NA,1,NA,1,49,10,76,71,18,20,20,82,50,91,71,19,50,90,91,49,83,71,50,100,60,11,90,70,18,29,20,81,49,49,79,49,69,90,59,39,70,68,39,98,20,8,70,90,90,82,54,71,25,90,70,96,69,22,10,50,83,28,49,29,187,46,1,38,NA
"19",25,"5/13/2014 23:27",1,"Educated",NA,1,NA,1,23,0,56,100,100,56,0,80,100,100,14,0,67,100,100,38,0,43,53,100,55,50,54,0,0,42,0,55,67,0,71,0,61,96,100,50,0,71,66,100,0,0,92,100,100,81,0,55,86,91,52,0,78,56,0,81,0,0,67,10,187,43,1,38,NA
"20",26,"5/13/2014 23:27",1,"Educated",NA,1,NA,1,62,40,95,36,91,60,56,100,76,64,70,66,81,100,56,94,56,78,100,100,38,33,55,100,0,63,25,66,100,100,41,60,68,88,90,44,40,26,86,47,60,0,53,100,48,74,65,59,78,73,47,100,85,97,32,83,47,87,61,80,187,69,2,38,NA
"21",27,"5/13/2014 23:27",1,"Educated",NA,1,NA,2,100,100,100,100,100,100,100,100,100,100,100,81,90,100,100,90,100,100,100,100,91,70,100,90,83,89,100,90,100,91,100,91,100,100,100,100,100,100,100,100,80,71,81,100,91,100,100,100,91,91,100,100,100,100,90,100,100,100,100,100,187,33,2,43,NA
"22",28,"5/13/2014 23:28",1,"Educated",NA,1,NA,1,10,9,9,50,100,9,10,49,29,100,8,4,20,61,100,20,29,92,81,92,18,5,19,10,9,6,4,50,50,100,41,3,11,18,100,9,19,80,71,100,1,2,9,60,98,81,2,90,62,91,100,91,100,10,8,90,100,10,10,7,187,51,1,43,NA
"23",29,"5/13/2014 23:28",1,"Educated",NA,1,NA,2,50,10,71,50,49,51,10,50,50,80,49,10,60,51,51,49,30,51,50,79,50,30,80,50,51,40,30,50,50,90,50,10,80,82,51,48,40,51,51,78,51,9,81,60,51,51,21,51,50,79,82,91,60,51,50,59,80,50,51,60,187,30,2,38,NA
"24",30,"5/13/2014 23:29",1,"Educated",NA,1,NA,1,40,9,30,60,59,61,40,70,50,66,35,16,40,57,49,43,45,70,29,66,60,40,61,60,59,46,51,50,40,59,92,49,55,70,68,41,59,81,89,99,3,9,50,51,39,49,40,50,40,60,62,53,54,70,76,56,63,84,71,80,187,50,1,42,NA
"25",31,"5/13/2014 23:30",1,"Educated",NA,1,NA,1,74,76,85,84,66,79,75,84,83,83,87,78,79,91,67,66,72,90,88,88,72,70,85,78,70,77,68,80,71,90,94,86,73,76,79,72,76,89,82,84,81,89,89,75,69,61,68,79,82,84,83,92,80,76,70,84,77,80,74,85,187,46,2,40,NA
"26",32,"5/13/2014 23:41",1,"Educated",NA,1,NA,1,55,33,61,54,51,49,55,54,50,81,50,33,53,57,56,50,50,54,51,75,48,49,80,50,50,50,50,50,60,91,62,54,71,70,57,63,69,81,60,82,49,49,51,54,50,66,49,56,50,59,80,91,70,61,54,59,67,71,50,66,187,41,2,38,NA
"27",33,"5/13/2014 23:42",1,"Educated",NA,1,NA,1,63,47,66,80,86,72,57,98,57,52,93,39,90,75,61,79,59,97,98,59,100,39,98,81,81,59,61,100,100,99,97,97,98,99,52,66,52,98,96,99,50,20,82,81,51,80,30,92,80,92,98,100,96,79,58,90,70,100,100,100,187,57,2,38,NA
"28",34,"5/13/2014 23:42",1,"Educated",NA,1,NA,1,97,96,94,98,73,61,65,98,100,95,85,85,86,90,82,86,85,87,87,86,91,89,87,85,80,86,87,87,88,96,87,58,74,97,87,89,86,86,87,100,94,98,93,94,36,94,95,93,92,95,94,90,98,93,90,93,100,86,91,91,187,71,1,42,NA
"29",35,"5/13/2014 23:44",1,"Educated",NA,1,NA,2,77,56,69,100,76,56,90,89,91,92,95,58,82,100,100,90,97,91,86,100,50,51,100,98,65,77,71,50,91,100,96,67,81,99,96,81,91,91,87,100,91,53,87,100,100,80,95,81,94,98,100,100,100,88,79,98,89,92,96,95,187,60,1,43,NA
