"","Start_time","End_time","Finished","Respondent_group","Screening","Consent","Reason_nc","Check_group","Ob_lawyers","Ob_politicians","Ob_journalists","Ob_med_doctors","Ob_accountants","Ob_army_lieutenants","Ob_bankers","Ob_judges","Ob_detectives","Ob_scientists","Ra_lawyers","Ra_politicians","Ra_journalists","Ra_med_doctors","Ra_accountants","Ra_army_lieutenants","Ra_bankers","Ra_judges","Ra_detectives","Ra_scientists","Op_lawyers","Op_politicians","Op_journalists","Op_med_doctors","Op_accountants","Op_army_lieutenants","Op_bankers","Op_judges","Op_detectives","Op_scientists","Iq_lawyers","Iq_politicians","Iq_journalists","Iq_med_doctors","Iq_accountants","Iq_army_lieutenants","Iq_bankers","Iq_judges","Iq_detectives","Iq_scientists","In_lawyers","In_politicians","In_journalists","In_med_doctors","In_accountants","In_army_lieutenants","In_bankers","In_judges","In_detectives","In_scientists","Co_lawyers","Co_politicians","Co_journalists","Co_med_doctors","Co_accountants","Co_army_lieutenants","Co_bankers","Co_judges","Co_detectives","Co_scientists","Country","Year_born","Gender","Occupation","Occupation_other","Religiousness","Feedback"
"14","5/13/2014 5:46","5/13/2014 5:54","1","Educated",NA,"1",NA,"2","31","26","36","63","68","77","58","78","65","86","41","38","56","91","61","83","60","95","85","67","36","39","62","57","59","75","48","75","70","71","77","70","56","98","94","75","55","77","73","97","28","17","28","71","66","86","27","82","90","60","97","78","100","55","38","93","43","45","92","56","187","58","2","11","Manager","39",NA
"16","5/13/2014 22:58","5/13/2014 23:02","1","Educated",NA,"1",NA,"4","19","29","61","71","81","49","40","91","60","60","60","31","60","92","91","59","59","80","82","92","50","8","59","59","69","30","50","82","59","40","80","39","61","91","72","49","48","81","60","81","28","9","39","71","60","60","30","91","81","70","92","91","71","70","39","60","49","49","61","70","187","47","1","10",NA,"38",NA
"17","5/13/2014 23:02","5/13/2014 23:06","1","Educated",NA,"1",NA,"1","53","53","53","71","81","68","56","77","70","87","72","51","60","80","72","61","52","81","72","80","61","62","60","70","69","49","61","69","70","80","51","42","41","81","80","60","50","82","70","100","39","51","42","66","71","64","36","73","52","83","75","78","83","80","57","69","76","67","76","74","187","65","2","11","engineer","38",NA
"18","5/13/2014 23:00","5/13/2014 23:10","1","Educated",NA,"1",NA,"2","67","51","69","68","65","59","49","68","65","77","66","54","53","72","59","60","62","62","70","72","49","46","52","72","42","58","45","74","47","68","60","58","39","79","50","42","49","61","52","90","55","51","64","69","69","57","47","88","58","62","82","77","80","79","57","66","80","73","74","79","187","12","2","11","teacher","39",NA
"19","5/13/2014 23:03","5/13/2014 23:12","1","Educated",NA,"1",NA,"2","8","19","100","96","80","63","79","100","99","100","71","31","100","89","81","38","88","95","89","100","55","25","100","73","83","59","75","95","88","100","78","81","75","91","80","98","78","87","67","96","27","14","95","79","60","79","95","95","80","83","92","69","40","70","48","31","100","17","43","12","187","47","1","11","supervisor","44",NA
"21","5/13/2014 23:09","5/13/2014 23:15","1","Educated",NA,"1",NA,"2","61","36","77","69","50","40","41","100","66","96","65","85","60","59","63","64","51","88","63","29","82","95","97","55","60","58","79","79","100","67","100","51","86","100","90","61","81","68","57","94","32","5","53","84","83","72","23","100","50","80","78","36","88","38","6","59","54","9","39","51","187","34","2","11","retired manager","38",NA
"22","5/13/2014 23:10","5/13/2014 23:16","1","Educated",NA,"1",NA,"1","50","0","4","49","4","5","0","4","50","20","51","1","50","51","49","49","49","49","49","50","0","0","51","0","21","19","0","19","81","0","100","0","40","100","60","61","0","82","60","100","0","0","2","49","100","50","0","50","49","49","100","100","100","100","3","100","100","4","100","100","187","26","2","11","business owner","44",NA
"24","5/13/2014 23:12","5/13/2014 23:17","1","Educated",NA,"1",NA,"1","49","10","76","71","18","20","20","82","50","91","71","19","50","90","91","49","83","71","50","100","60","11","90","70","18","29","20","81","49","49","79","49","69","90","59","39","70","68","39","98","20","8","70","90","90","82","54","71","25","90","70","96","69","22","10","50","83","28","49","29","187","46","1","11","business executive","38",NA
"25","5/13/2014 23:23","5/13/2014 23:27","1","Educated",NA,"1",NA,"1","23","0","56","100","100","56","0","80","100","100","14","0","67","100","100","38","0","43","53","100","55","50","54","0","0","42","0","55","67","0","71","0","61","96","100","50","0","71","66","100","0","0","92","100","100","81","0","55","86","91","52","0","78","56","0","81","0","0","67","10","187","43","1","11","Other","38",NA
"26","5/13/2014 23:23","5/13/2014 23:27","1","Educated",NA,"1",NA,"1","62","40","95","36","91","60","56","100","76","64","70","66","81","100","56","94","56","78","100","100","38","33","55","100","0","63","25","66","100","100","41","60","68","88","90","44","40","26","86","47","60","0","53","100","48","74","65","59","78","73","47","100","85","97","32","83","47","87","61","80","187","69","2","11","Writer","38",NA
"27","5/13/2014 23:23","5/13/2014 23:27","1","Educated",NA,"1",NA,"2","100","100","100","100","100","100","100","100","100","100","100","81","90","100","100","90","100","100","100","100","91","70","100","90","83","89","100","90","100","91","100","91","100","100","100","100","100","100","100","100","80","71","81","100","91","100","100","100","91","91","100","100","100","100","90","100","100","100","100","100","187","33","2","11","IT Director","43",NA
"28","5/13/2014 23:16","5/13/2014 23:28","1","Educated",NA,"1",NA,"1","10","9","9","50","100","9","10","49","29","100","8","4","20","61","100","20","29","92","81","92","18","5","19","10","9","6","4","50","50","100","41","3","11","18","100","9","19","80","71","100","1","2","9","60","98","81","2","90","62","91","100","91","100","10","8","90","100","10","10","7","187","51","1","11","manager","43",NA
"29","5/13/2014 23:14","5/13/2014 23:28","1","Educated",NA,"1",NA,"2","50","10","71","50","49","51","10","50","50","80","49","10","60","51","51","49","30","51","50","79","50","30","80","50","51","40","30","50","50","90","50","10","80","82","51","48","40","51","51","78","51","9","81","60","51","51","21","51","50","79","82","91","60","51","50","59","80","50","51","60","187","30","2","11","Retired","38",NA
"30","5/13/2014 23:25","5/13/2014 23:29","1","Educated",NA,"1",NA,"1","40","9","30","60","59","61","40","70","50","66","35","16","40","57","49","43","45","70","29","66","60","40","61","60","59","46","51","50","40","59","92","49","55","70","68","41","59","81","89","99","3","9","50","51","39","49","40","50","40","60","62","53","54","70","76","56","63","84","71","80","187","50","1","11","office manager","42",NA
"31","5/13/2014 23:25","5/13/2014 23:30","1","Educated",NA,"1",NA,"1","74","76","85","84","66","79","75","84","83","83","87","78","79","91","67","66","72","90","88","88","72","70","85","78","70","77","68","80","71","90","94","86","73","76","79","72","76","89","82","84","81","89","89","75","69","61","68","79","82","84","83","92","80","76","70","84","77","80","74","85","187","46","2","11","education","40",NA
"32","5/13/2014 23:36","5/13/2014 23:41","1","Educated",NA,"1",NA,"1","55","33","61","54","51","49","55","54","50","81","50","33","53","57","56","50","50","54","51","75","48","49","80","50","50","50","50","50","60","91","62","54","71","70","57","63","69","81","60","82","49","49","51","54","50","66","49","56","50","59","80","91","70","61","54","59","67","71","50","66","187","41","2","11","retired editor","38",NA
"33","5/13/2014 23:39","5/13/2014 23:42","1","Educated",NA,"1",NA,"1","63","47","66","80","86","72","57","98","57","52","93","39","90","75","61","79","59","97","98","59","100","39","98","81","81","59","61","100","100","99","97","97","98","99","52","66","52","98","96","99","50","20","82","81","51","80","30","92","80","92","98","100","96","79","58","90","70","100","100","100","187","57","2","11","self employed","38",NA
"34","5/13/2014 23:38","5/13/2014 23:42","1","Educated",NA,"1",NA,"1","97","96","94","98","73","61","65","98","100","95","85","85","86","90","82","86","85","87","87","86","91","89","87","85","80","86","87","87","88","96","87","58","74","97","87","89","86","86","87","100","94","98","93","94","36","94","95","93","92","95","94","90","98","93","90","93","100","86","91","91","187","71","1","11","Teacher","42",NA
