"","Start_time","End_time","Finished","Respondent_group","Screening","Consent","Reason_nc","Check_group","Ob_lawyers","Ob_politicians","Ob_journalists","Ob_med_doctors","Ob_accountants","Ob_army_lieutenants","Ob_bankers","Ob_judges","Ob_detectives","Ob_scientists","Ra_lawyers","Ra_politicians","Ra_journalists","Ra_med_doctors","Ra_accountants","Ra_army_lieutenants","Ra_bankers","Ra_judges","Ra_detectives","Ra_scientists","Op_lawyers","Op_politicians","Op_journalists","Op_med_doctors","Op_accountants","Op_army_lieutenants","Op_bankers","Op_judges","Op_detectives","Op_scientists","Iq_lawyers","Iq_politicians","Iq_journalists","Iq_med_doctors","Iq_accountants","Iq_army_lieutenants","Iq_bankers","Iq_judges","Iq_detectives","Iq_scientists","In_lawyers","In_politicians","In_journalists","In_med_doctors","In_accountants","In_army_lieutenants","In_bankers","In_judges","In_detectives","In_scientists","Co_lawyers","Co_politicians","Co_journalists","Co_med_doctors","Co_accountants","Co_army_lieutenants","Co_bankers","Co_judges","Co_detectives","Co_scientists","Country","Year_born","Gender","Occupation","Occupation_other","Religiousness","Feedback"
"75","5/14/2014 2:09","5/14/2014 2:15","1","Educated",NA,"1",NA,"2","100","100","100","91","100","69","33","100","100","100","50","80","40","98","90","60","100","100","100","100","80","92","91","80","65","17","14","80","88","99","100","100","60","100","100","40","90","100","100","100","90","90","90","100","100","70","100","100","100","90","90","60","70","90","70","30","60","50","90","90","187","55","1","11","Teacher","43",NA
"77","5/14/2014 2:10","5/14/2014 2:18","1","Educated",NA,"1",NA,"1","54","64","68","55","73","56","55","68","58","72","71","32","65","63","58","77","56","86","74","82","38","38","34","49","36","52","32","64","56","55","85","83","84","93","85","78","82","91","93","95","72","0","21","71","58","81","63","70","50","59","77","90","98","65","55","67","69","57","74","74","187","73","2","11","artist","44",NA
"78","5/14/2014 2:15","5/14/2014 2:20","1","Educated",NA,"1",NA,"1","63","8","64","64","56","51","36","76","78","76","70","13","49","77","63","50","59","61","80","71","54","7","66","74","35","53","34","60","30","70","76","36","77","87","68","23","71","85","66","99","76","3","30","60","82","53","29","70","70","73","57","84","53","37","27","36","70","44","46","77","187","38","1","11","maint","38",NA
"79","5/14/2014 2:10","5/14/2014 2:21","1","Educated",NA,"1",NA,"1","54","52","52","52","56","51","54","52","53","52","52","55","53","53","50","52","53","52","52","52","53","54","54","53","54","53","55","54","52","54","50","50","50","52","49","51","54","51","51","50","51","50","52","51","47","53","52","54","51","53","50","50","53","52","50","51","52","52","52","53","187","62","2","11","GIS","38",NA
"80","5/14/2014 2:22","5/14/2014 2:24","1","Educated",NA,"1",NA,"4","30","37","38","28","44","30","51","50","32","22","44","36","26","38","21","38","28","31","41","24","45","37","38","50","39","45","30","48","56","60","44","45","51","68","39","49","62","53","54","47","63","32","37","43","58","43","52","42","46","55","27","16","29","19","28","38","28","19","17","15","52","65","1","4",NA,"41",NA
"81","5/14/2014 2:24","5/14/2014 2:28","1","Educated",NA,"1",NA,"2","36","7","13","81","85","88","64","72","61","81","51","20","40","80","80","73","71","75","73","82","35","26","34","61","54","74","53","76","58","37","67","35","62","91","83","70","85","68","64","89","19","7","23","74","68","71","55","62","47","86","93","94","98","75","64","74","80","65","80","61","187","55","2","10",NA,"43",NA
"82","5/14/2014 2:27","5/14/2014 2:32","1","Educated",NA,"1",NA,"1","40","28","61","59","49","30","51","79","70","51","60","70","48","39","40","24","41","59","50","59","50","33","49","80","59","50","46","51","62","68","73","25","49","75","57","38","70","78","71","73","48","37","49","70","61","50","48","59","48","68","50","40","40","67","48","90","50","39","60","59","187","36","2","11","retired teacher","38",NA
"83","5/14/2014 2:24","5/14/2014 2:33","1","Educated",NA,"1",NA,"1","19","50","61","82","80","81","19","92","90","91","82","51","51","60","81","60","49","90","90","82","70","71","80","70","61","50","51","91","80","81","66","66","76","61","76","61","61","81","81","81","35","60","60","61","60","71","20","81","60","61","61","61","51","51","50","50","61","40","40","41","187","56","1","11","Teacher","41",NA
"84","5/14/2014 2:30","5/14/2014 2:33","1","Educated",NA,"1",NA,"1","87","50","92","87","91","78","80","91","87","62","82","14","85","89","73","53","55","87","93","71","63","16","78","75","51","54","41","74","100","87","89","67","78","98","88","81","93","91","86","92","37","23","82","75","89","80","51","93","87","60","94","93","98","76","94","79","89","93","90","67","187","65","1","5",NA,"43",NA
"85","5/14/2014 2:31","5/14/2014 2:37","1","Educated",NA,"1",NA,"1","3","3","60","95","86","90","94","5","96","94","14","8","77","70","72","90","79","7","42","63","19","10","30","81","62","73","75","6","40","69","95","48","61","100","97","94","91","100","100","100","94","59","63","100","96","95","100","97","100","60","9","2","78","96","86","94","92","5","81","93","187","35","1","11","IT Contractor","39",NA
"86","5/14/2014 2:30","5/14/2014 2:40","1","Educated",NA,"1",NA,"2","80","50","50","85","85","70","70","90","80","80","60","70","70","90","90","90","70","80","75","95","85","50","50","80","85","75","75","90","75","85","85","65","85","90","80","85","80","70","75","90","75","25","50","85","90","85","75","90","70","80","90","95","95","70","60","95","75","60","75","70","187","27","1","11","Retired","43",NA
"88","5/14/2014 2:39","5/14/2014 2:48","1","Educated",NA,"1",NA,"2","70","52","68","64","56","55","63","69","53","51","56","51","57","52","59","41","63","46","58","54","55","53","71","60","60","59","68","74","58","64","49","61","69","52","56","50","61","49","61","60","56","51","59","51","52","58","62","52","65","50","53","58","64","59","67","65","45","51","68","63","187","64","2","11","csr","41",NA
"89","5/14/2014 3:02","5/14/2014 3:06","1","Educated",NA,"1",NA,"1","50","39","61","70","71","55","70","74","74","70","82","40","71","90","80","89","90","83","80","97","69","50","79","62","71","61","71","67","81","96","80","69","69","80","81","80","89","82","70","96","62","61","68","76","70","78","70","76","76","87","100","100","100","74","70","60","86","51","50","90","187","71","2","11","Unemployed","38",NA
"90","5/14/2014 3:03","5/14/2014 3:06","1","Educated",NA,"1",NA,"1","78","85","84","80","78","83","85","77","87","78","84","78","73","78","86","86","84","79","85","78","81","82","82","85","80","71","80","79","82","81","83","81","83","80","81","84","83","81","80","84","80","81","86","80","86","86","83","85","82","83","81","81","78","81","81","56","81","85","82","84","187","56","2","7",NA,"43",NA
"92","5/14/2014 2:40","5/14/2014 3:10","1","Educated",NA,"1",NA,"1","61","39","70","71","91","60","70","60","89","80","81","41","70","80","90","89","81","80","59","71","60","50","70","55","55","70","55","71","85","60","66","40","81","71","71","71","62","70","82","91","61","3","64","78","87","81","9","70","80","65","80","100","74","51","9","60","49","60","40","69","187","37","2","11","veterinary assistant","41",NA
"94","5/14/2014 22:35","5/14/2014 22:41","1","Educated",NA,"1",NA,"1","71","0","29","78","75","52","0","54","70","100","60","2","30","85","77","65","3","71","64","100","10","2","43","53","56","31","0","36","42","34","60","3","49","89","74","65","20","69","40","100","19","0","39","57","51","59","0","58","56","99","96","98","69","74","18","69","96","50","70","44","187","51","1","11","EE","38",NA
"95","5/14/2014 22:37","5/14/2014 22:44","1","Educated",NA,"1",NA,"2","0","0","0","80","80","80","50","10","80","80","50","10","10","90","90","90","90","50","90","90","0","0","0","60","60","50","60","0","80","60","29","0","0","100","100","50","100","80","90","100","70","10","10","100","100","100","100","70","100","100","100","100","100","20","50","50","100","10","50","70","187","36","1","11","Statistician","43",NA
"96","5/14/2014 22:41","5/14/2014 22:46","1","Educated",NA,"1",NA,"2","80","28","20","91","95","70","90","90","69","90","90","59","60","90","91","91","91","80","80","90","91","19","29","91","80","70","91","91","70","91","90","49","49","100","90","79","80","91","69","91","80","39","29","91","91","81","80","80","60","91","90","100","91","80","81","69","80","90","80","70","187","25","2","11","Retired Manager","42",NA
"97","5/14/2014 22:38","5/14/2014 22:48","1","Educated",NA,"1",NA,"2","83","84","99","88","84","92","82","98","82","97","81","86","99","96","86","99","84","97","100","81","77","88","95","82","81","94","81","99","100","94","100","88","83","100","99","99","100","100","99","99","97","97","100","99","99","100","98","100","100","98","98","98","95","77","79","78","100","76","78","74","187","38","2","11","Retired","42",NA
