"","Start_time","End_time","Finished","Respondent_group","Screening","Condition","Consent","Reason_nc","Check_phd","Check_group","ob1","ob2","ob3","ra1","ra2","ra3","op1","op2","op3","iq1","iq2","iq3","in1","in2","in3","co1","co2","co3","Country","Year_born","Year_phd","Gender","Religiousness","Feedback","Target"
"30","5/14/2014 10:19","5/14/2014 10:28","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",6,6,6,6,6,6,3,6,6,2,6,5,7,6,7,2,6,1,"36","45","86","1","43",NA,"Scientists"
"31","5/14/2014 10:24","5/14/2014 10:29","1","Scientists",NA,"Scientists_Scientists","1",NA,"2",NA,7,7,5,5,6,6,6,7,7,3,5,5,7,6,7,7,6,3,"153","64","95","1","43",NA,"Scientists"
"32","5/14/2014 10:21","5/14/2014 10:29","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",6,5,5,5,6,5,3,5,5,4,2,3,3,2,2,6,2,1,"163","36","66","1","42",NA,"Educated"
"33","5/14/2014 10:19","5/14/2014 10:30","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",6,6,3,6,5,6,5,5,6,3,6,4,6,5,6,5,5,3,"17","29","60","1","39",NA,"Educated"
"34","5/14/2014 10:26","5/14/2014 10:32","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",5,4,5,5,5,5,6,6,5,6,5,4,5,4,4,4,6,4,"78","41","72","1","43",NA,"Educated"
"35","5/14/2014 10:33","5/14/2014 10:37","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",5,6,4,5,5,6,3,4,6,2,2,2,6,6,6,3,6,5,"163","64","93","1","43",NA,"Scientists"
"36","5/14/2014 10:33","5/14/2014 10:38","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",2,2,2,5,3,6,3,3,3,5,3,6,4,5,5,5,2,3,"42","59","89","1","43",NA,"Educated"
"38","5/14/2014 10:37","5/14/2014 10:42","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",6,6,2,6,6,2,6,7,7,2,2,2,7,7,7,7,7,4,"122","36","68","1","38",NA,"Scientists"
"39","5/14/2014 10:37","5/14/2014 10:43","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",7,7,6,7,7,7,7,7,7,5,5,6,7,7,7,6,7,3,"48","47","84","1","38",NA,"Educated"
"40","5/14/2014 10:26","5/14/2014 10:45","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",5,4,5,5,5,5,2,5,5,2,4,3,5,3,4,4,4,3,"84","60","93","1","38",NA,"Scientists"
