"","X","Start_time","End_time","Finished","Respondent_group","Screening","Consent","Reason_nc","Check_group","ob1","ob2","ob3","ra1","ra2","ra3","op1","op2","op3","iq1","iq2","iq3","in1","in2","in3","co1","co2","co3","Country","Year_born","Gender","Religiousness","Feedback","Target"
"32",33,"5/13/2014 22:59","5/13/2014 23:01",1,"Educated",NA,1,NA,2,5,5,6,5,6,6,6,7,7,5,6,5,5,6,6,5,5,6,187,65,1,40,NA,"Educated"
"33",34,"5/13/2014 22:59","5/13/2014 23:04",1,"Educated",NA,1,NA,1,5,2,2,7,3,6,6,1,5,5,6,6,5,2,1,2,3,2,187,29,1,43,NA,"Scientists"
"34",35,"5/13/2014 23:04","5/13/2014 23:07",1,"Educated",NA,1,NA,2,5,3,2,4,5,4,3,5,5,5,5,4,4,4,4,4,4,4,187,22,1,38,NA,"Educated"
"35",36,"5/13/2014 23:04","5/13/2014 23:07",1,"Educated",NA,1,NA,1,4,4,4,4,5,4,5,4,5,4,4,4,5,4,4,4,4,4,187,31,2,43,NA,"Scientists"
"36",37,"5/13/2014 23:08","5/13/2014 23:10",1,"Educated",NA,1,NA,1,4,4,2,3,4,2,2,4,4,4,4,4,4,4,2,4,4,4,187,59,2,40,NA,"Educated"
"37",38,"5/13/2014 23:07","5/13/2014 23:11",1,"Educated",NA,1,NA,1,6,6,4,6,6,6,6,5,6,5,3,5,6,5,6,5,6,2,187,32,1,39,NA,"Scientists"
"38",39,"5/13/2014 23:10","5/13/2014 23:12",1,"Educated",NA,1,NA,2,5,7,1,5,6,6,2,7,1,1,1,1,6,4,5,3,6,4,187,54,1,38,NA,"Scientists"
"39",40,"5/13/2014 23:12","5/13/2014 23:15",1,"Educated",NA,1,NA,1,5,5,3,6,6,5,5,5,4,3,2,4,5,2,4,1,4,4,187,60,2,38,NA,"Educated"
"40",41,"5/13/2014 23:13","5/13/2014 23:18",1,"Educated",NA,1,NA,1,6,5,3,5,6,5,6,7,3,5,3,4,6,6,4,6,4,4,187,55,2,43,NA,"Educated"
"41",42,"5/13/2014 23:16","5/13/2014 23:18",1,"Educated",NA,1,NA,1,4,4,4,5,4,6,3,4,4,3,5,3,4,6,1,6,4,2,187,50,1,38,NA,"Scientists"
"42",43,"5/13/2014 23:17","5/13/2014 23:19",1,"Educated",NA,1,NA,1,5,6,2,6,5,6,5,6,5,5,5,6,6,5,5,6,6,5,187,65,2,38,NA,"Scientists"
"43",44,"5/13/2014 23:15","5/13/2014 23:19",1,"Educated",NA,1,NA,1,6,5,5,6,6,5,6,5,6,5,5,5,6,6,5,5,5,3,187,49,1,43,NA,"Educated"
"44",45,"5/13/2014 23:23","5/13/2014 23:26",1,"Educated",NA,1,NA,2,6,6,6,7,6,6,6,6,4,2,3,4,7,7,7,7,6,5,187,41,1,44,NA,"Scientists"
"45",46,"5/13/2014 23:22","5/13/2014 23:27",1,"Educated",NA,1,NA,2,3,6,3,5,5,6,3,5,5,5,2,1,5,3,3,3,2,2,187,33,2,39,NA,"Educated"
"46",47,"5/13/2014 23:25","5/13/2014 23:28",1,"Educated",NA,1,NA,1,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,187,46,1,38,NA,"Educated"
"47",48,"5/13/2014 23:25","5/13/2014 23:29",1,"Educated",NA,1,NA,1,5,6,5,7,7,7,7,5,6,6,6,6,7,6,6,6,6,5,187,39,2,39,NA,"Scientists"
"48",49,"5/13/2014 23:30","5/13/2014 23:31",1,"Educated",NA,1,NA,1,7,5,7,6,6,7,7,7,4,5,1,5,7,6,7,6,5,2,187,43,1,44,NA,"Scientists"
"49",50,"5/13/2014 23:30","5/13/2014 23:32",1,"Educated",NA,1,NA,2,7,7,4,7,7,7,5,7,7,5,5,4,7,7,7,7,4,4,187,36,2,38,NA,"Scientists"
"50",51,"5/13/2014 23:29","5/13/2014 23:34",1,"Educated",NA,1,NA,2,5,6,2,5,6,5,5,6,6,5,2,5,4,2,2,3,3,2,187,54,2,43,NA,"Educated"
"51",52,"5/13/2014 23:32","5/13/2014 23:37",1,"Educated",NA,1,NA,2,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,187,53,2,43,NA,"Educated"
"52",53,"5/13/2014 23:35","5/13/2014 23:40",1,"Educated",NA,1,NA,1,5,6,6,6,7,7,4,6,6,6,4,6,7,6,7,7,7,6,187,30,2,44,NA,"Scientists"
"53",54,"5/13/2014 23:39","5/13/2014 23:42",1,"Educated",NA,1,NA,1,5,4,3,5,5,5,5,5,5,3,4,4,5,4,4,3,4,3,187,46,1,40,NA,"Educated"
"54",55,"5/13/2014 23:39","5/13/2014 23:42",1,"Educated",NA,1,NA,1,5,5,3,5,6,6,3,6,6,5,2,3,6,5,6,3,5,3,187,66,2,39,NA,"Educated"
"55",56,"5/13/2014 23:39","5/13/2014 23:43",1,"Educated",NA,1,NA,2,6,5,2,5,5,6,5,3,5,1,1,2,5,5,5,5,1,1,187,32,2,43,NA,"Scientists"
"56",57,"5/13/2014 23:47","5/13/2014 23:50",1,"Educated",NA,1,NA,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,187,30,2,44,NA,"Educated"
"57",58,"5/13/2014 23:47","5/13/2014 23:51",1,"Educated",NA,1,NA,1,5,5,5,6,5,6,5,5,6,4,4,5,5,4,4,4,4,4,187,36,2,42,NA,"Scientists"
"58",59,"5/14/2014 0:11","5/14/2014 0:13",1,"Educated",NA,1,NA,1,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,4,187,35,1,43,NA,"Educated"
"59",60,"5/14/2014 0:14","5/14/2014 0:24",1,"Educated",NA,1,NA,1,6,6,5,6,5,5,6,6,6,6,5,6,6,6,6,6,6,5,187,26,2,44,NA,"Scientists"
"60",61,"5/14/2014 0:18","5/14/2014 0:30",1,"Educated",NA,1,NA,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,187,66,2,41,NA,"Scientists"
"61",62,"5/14/2014 0:29","5/14/2014 0:31",1,"Educated",NA,1,NA,2,7,4,6,6,5,5,6,7,6,6,5,5,7,7,4,4,5,4,187,61,1,44,NA,"Educated"
"62",63,"5/14/2014 0:33","5/14/2014 0:35",1,"Educated",NA,1,NA,2,6,5,5,6,6,6,5,5,6,4,5,5,6,6,6,5,6,4,187,34,1,44,NA,"Scientists"
"63",64,"5/14/2014 0:35","5/14/2014 0:36",1,"Educated",NA,1,NA,1,4,5,4,5,4,4,5,4,5,5,4,5,4,4,5,5,4,4,187,62,1,43,NA,"Educated"
"64",65,"5/14/2014 0:45","5/14/2014 0:48",1,"Educated",NA,1,NA,1,5,4,5,6,6,4,3,4,4,5,NA,6,5,3,6,4,4,5,187,61,1,40,NA,"Scientists"
"65",66,"5/14/2014 0:56","5/14/2014 0:58",1,"Educated",NA,1,NA,2,3,3,2,3,3,3,3,3,3,3,2,2,2,2,1,3,2,3,187,43,1,40,NA,"Educated"
"66",67,"5/14/2014 0:43","5/14/2014 1:02",1,"Educated",NA,1,NA,1,5,5,4,5,5,5,5,5,4,3,4,4,5,4,4,3,4,3,187,65,2,40,NA,"Educated"
