"","Start_time","End_time","Finished","Respondent_group","Screening","Condition","Consent","Reason_nc","Check_phd","Check_group","ob1","ob2","ob3","ra1","ra2","ra3","op1","op2","op3","iq1","iq2","iq3","in1","in2","in3","co1","co2","co3","Country","Year_born","Year_phd","Gender","Religiousness","Feedback","Target"
"210","5/20/2014 19:29","5/20/2014 19:32","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",5,5,4,5,6,7,5,7,6,5,6,4,6,7,6,4,3,1,"187","58","84","1","39",NA,"Scientists"
"215","5/14/2014 18:34","5/21/2014 18:01","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",6,5,2,5,5,6,5,6,6,2,6,5,5,5,5,5,4,4,"187","39","67","1","39",NA,"Educated"
"245","6/11/2014 13:45","6/11/2014 13:51","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",3,5,2,6,5,6,5,5,5,6,5,4,5,5,6,5,5,5,"187","63","94","2","39",NA,"Educated"
"249","6/11/2014 14:01","6/11/2014 14:04","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",5,2,2,6,5,6,5,5,5,4,3,4,3,2,2,2,2,1,"187","56","84","2","43",NA,"Educated"
"252","6/11/2014 16:37","6/11/2014 17:00","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",3,5,1,6,5,6,3,5,3,5,2,3,4,2,2,1,4,1,"187","65","95","2","38",NA,"Educated"
"254","6/11/2014 18:18","6/11/2014 18:21","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",5,3,1,5,5,6,3,5,5,2,4,2,6,3,3,3,2,2,"187","56","90","1","42",NA,"Scientists"
"256","6/11/2014 19:35","6/11/2014 19:37","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",5,5,4,6,6,6,4,4,4,5,5,6,4,4,4,4,4,1,"187","56","83","1","40",NA,"Educated"
"258","6/11/2014 19:53","6/11/2014 20:08","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",3,3,3,6,5,6,3,5,3,3,3,3,5,2,3,3,2,2,"187","29","60","1","44",NA,"Scientists"
"261","6/11/2014 20:56","6/11/2014 21:00","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",5,3,2,4,5,5,3,5,5,4,4,5,6,6,6,5,3,4,"187","50","80","1","44",NA,"Scientists"
"271","6/13/2014 13:35","6/13/2014 13:38","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",6,6,6,6,6,6,6,6,6,4,4,4,6,6,6,6,6,3,"187","38","71","1","38",NA,"Educated"
"273","6/16/2014 16:23","6/16/2014 16:26","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",6,7,5,6,6,6,6,6,6,4,4,4,7,7,7,7,7,6,"187","59","87","2","38",NA,"Scientists"
