"","Start_time","End_time","Finished","Respondent_group","Screening","Condition","Consent","Reason_nc","Check_group","ob1","ob2","ob3","ra1","ra2","ra3","op1","op2","op3","iq1","iq2","iq3","in1","in2","in3","co1","co2","co3","Country","Year_born","Gender","Occupation","Occupation_other","Religiousness","Feedback","Target"
"29","5/13/2014 6:44","5/13/2014 6:47","1","Educated",NA,"Educated_Scientists","1",NA,"1",6,6,5,6,6,6,6,7,6,4,3,4,7,6,6,6,5,4,"187","50","2","7",NA,"40",NA,"Scientists"
"30","5/13/2014 6:46","5/13/2014 6:50","1","Educated",NA,"Educated_Educated","1",NA,"2",6,6,2,6,6,6,5,6,6,6,5,6,7,3,3,3,4,2,"187","43","1","7","business management","44",NA,"Educated"
"31","5/13/2014 6:45","5/13/2014 6:53","1","Educated",NA,"Educated_Scientists","1",NA,"1",4,4,4,5,5,3,4,4,5,4,4,4,4,4,4,4,4,4,"187","51","2","7","manager","44",NA,"Scientists"
"32","5/13/2014 6:51","5/13/2014 6:54","1","Educated",NA,"Educated_Educated","1",NA,"1",6,7,6,7,7,6,7,6,6,3,2,2,7,6,7,6,7,6,"187","40","2","7","merchandising specialist","40",NA,"Educated"
"33","5/13/2014 22:59","5/13/2014 23:01","1","Educated",NA,"Educated_Educated","1",NA,"2",5,5,6,5,6,6,6,7,7,5,6,5,5,6,6,5,5,6,"187","65","1","6",NA,"40",NA,"Educated"
"34","5/13/2014 22:59","5/13/2014 23:04","1","Educated",NA,"Educated_Scientists","1",NA,"1",5,2,2,7,3,6,6,1,5,5,6,6,5,2,1,2,3,2,"187","29","1","7","retired","43",NA,"Scientists"
"35","5/13/2014 23:04","5/13/2014 23:07","1","Educated",NA,"Educated_Educated","1",NA,"2",5,3,2,4,5,4,3,5,5,5,5,4,4,4,4,4,4,4,"187","22","1","7",NA,"38",NA,"Educated"
"36","5/13/2014 23:04","5/13/2014 23:07","1","Educated",NA,"Educated_Scientists","1",NA,"1",4,4,4,4,5,4,5,4,5,4,4,4,5,4,4,4,4,4,"187","31","2","7","Homemaker","43",NA,"Scientists"
"37","5/13/2014 23:08","5/13/2014 23:10","1","Educated",NA,"Educated_Educated","1",NA,"1",4,4,2,3,4,2,2,4,4,4,4,4,4,4,2,4,4,4,"187","59","2","7","admin","40",NA,"Educated"
"38","5/13/2014 23:07","5/13/2014 23:11","1","Educated",NA,"Educated_Scientists","1",NA,"1",6,6,4,6,6,6,6,5,6,5,3,5,6,5,6,5,6,2,"187","32","1","7","Computer Services","39",NA,"Scientists"
"39","5/13/2014 23:10","5/13/2014 23:12","1","Educated",NA,"Educated_Scientists","1",NA,"2",5,7,1,5,6,6,2,7,1,1,1,1,6,4,5,3,6,4,"187","54","1","7","Teacher","38",NA,"Scientists"
"40","5/13/2014 23:12","5/13/2014 23:15","1","Educated",NA,"Educated_Educated","1",NA,"1",5,5,3,6,6,5,5,5,4,3,2,4,5,2,4,1,4,4,"187","60","2","7","Film/TV development executive","38",NA,"Educated"
"41","5/13/2014 23:13","5/13/2014 23:18","1","Educated",NA,"Educated_Educated","1",NA,"1",6,5,3,5,6,5,6,7,3,5,3,4,6,6,4,6,4,4,"187","55","2","7",NA,"43",NA,"Educated"
"42","5/13/2014 23:16","5/13/2014 23:18","1","Educated",NA,"Educated_Scientists","1",NA,"1",4,4,4,5,4,6,3,4,4,3,5,3,4,6,1,6,4,2,"187","50","1","7","construction","38",NA,"Scientists"
